method,config,T0,T1,branch,arm,severity,estimator,n,coverage,mean_bias,mean_abs_bias,rmse,mean_se,mean_direct_shock_component,mean_iv_moment_bias_ratio,mean_weight_corr,cap_bound_fraction
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,SIV,1000,0.831,nan,nan,nan,nan,0.011958469926328312,0.016431615138157284,0.6911109949340527,0.0
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,TSLS,1000,0.833,nan,nan,nan,nan,0.0006721701367384867,0.007842697683356789,0.6911109949340527,0.0
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,SIV,1000,0.766,nan,nan,nan,nan,0.026773276865535496,0.031046533727854857,0.6870174552565221,0.0
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,TSLS,1000,0.723,nan,nan,nan,nan,0.0015683969857231363,0.008738924532341447,0.6870174552565221,0.0
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,SIV,1000,0.712,nan,nan,nan,nan,0.0366706358940546,0.04075074557826443,0.6823385515960274,0.0
AR,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,TSLS,1000,0.634,nan,nan,nan,nan,0.0022405671224616226,0.009411094669079929,0.6823385515960274,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.0,SIV,1000,0.857,nan,nan,nan,nan,0.0,0.004569554408801577,0.6918757676351542,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.0,TSLS,1000,0.853,nan,nan,nan,nan,0.0,0.00717052754661831,0.6918757676351542,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.6,SIV,1000,0.851,nan,nan,nan,nan,0.0009017736658541884,0.0054279867216530725,0.6916978923371692,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.6,TSLS,1000,0.787,nan,nan,nan,nan,0.011833334345069968,0.019003861891688265,0.6916978923371692,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,1.4,SIV,1000,0.838,nan,nan,nan,nan,0.001961526377023005,0.0064721975868952996,0.6906800830856311,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,1.4,TSLS,1000,0.632,nan,nan,nan,nan,0.02761111347182993,0.034781641018448224,0.6906800830856311,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,2.0,SIV,1000,0.82,nan,nan,nan,nan,0.0026124966985171527,0.007142630293677337,0.6894345011252346,0.0
AR,finite_length,5,10,GFE + Agg. Shock,C_random_geometry,2.0,TSLS,1000,0.533,nan,nan,nan,nan,0.039444447816899895,0.046614975363518205,0.6894345011252346,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.0,SIV,1000,0.94,nan,nan,nan,nan,0.0,0.0005903895389180217,0.38092570056895014,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.0,TSLS,1000,0.924,nan,nan,nan,nan,0.0,0.0001755668100799622,0.38092570056895014,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.6,SIV,1000,0.941,nan,nan,nan,nan,3.4990213202099207e-06,0.0005967803231524536,0.3803430087625534,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.6,TSLS,1000,0.879,nan,nan,nan,nan,0.0031390780822866497,0.00331464489236661,0.3803430087625534,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,1.4,SIV,1000,0.941,nan,nan,nan,nan,8.18499290747854e-06,0.0006053283126297537,0.3795680882688332,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,1.4,TSLS,1000,0.682,nan,nan,nan,nan,0.007324515525335516,0.007500082335415474,0.3795680882688332,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,2.0,SIV,1000,0.941,nan,nan,nan,nan,1.1714997816525967e-05,0.0006117593121342639,0.37898843782660135,0.0
AR,longer_length,30,60,Aggregate Shock,A_TSLS_targeted,2.0,TSLS,1000,0.48,nan,nan,nan,nan,0.010463593607622163,0.010639160417702126,0.37898843782660135,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.0,SIV,1000,0.94,nan,nan,nan,nan,0.0,0.0005903895389180217,0.38092570056895014,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.0,TSLS,1000,0.924,nan,nan,nan,nan,0.0,0.0001755668100799622,0.38092570056895014,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.6,SIV,1000,0.938,nan,nan,nan,nan,0.001417627641626519,0.002015816441335075,0.3809646641916312,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,0.6,TSLS,1000,0.873,nan,nan,nan,nan,0.0006492140046971509,0.0008247808147771126,0.3809646641916312,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,1.4,SIV,1000,0.922,nan,nan,nan,nan,0.003181767919677581,0.0037836982204732827,0.38043952292926486,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,1.4,TSLS,1000,0.7,nan,nan,nan,nan,0.0015148326776266853,0.0016903994877066459,0.38043952292926486,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,2.0,SIV,1000,0.909,nan,nan,nan,nan,0.004371079975440239,0.004970451626081308,0.37982943427190374,0.0
AR,longer_length,30,60,Aggregate Shock,B_SIV_targeted,2.0,TSLS,1000,0.525,nan,nan,nan,nan,0.0021640466823238365,0.0023396134924037995,0.37982943427190374,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,0.0,SIV,1000,0.94,nan,nan,nan,nan,0.0,0.0005903895389180217,0.38092570056895014,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,0.0,TSLS,1000,0.924,nan,nan,nan,nan,0.0,0.0001755668100799622,0.38092570056895014,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,0.6,SIV,1000,0.941,nan,nan,nan,nan,3.5982465406868713e-06,0.0005945699332267964,0.380304074007728,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,0.6,TSLS,1000,0.879,nan,nan,nan,nan,0.0031390780822866493,0.0033146448923666093,0.380304074007728,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,1.4,SIV,1000,0.94,nan,nan,nan,nan,1.0933831343094797e-05,0.0006046156470368334,0.37947839587926874,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,1.4,TSLS,1000,0.682,nan,nan,nan,nan,0.007324515525335516,0.007500082335415476,0.37947839587926874,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,2.0,SIV,1000,0.939,nan,nan,nan,nan,1.7917131882385632e-05,0.0006159280380435683,0.37888632078548046,0.0
AR,longer_length,30,60,Aggregate Shock,C_random_geometry,2.0,TSLS,1000,0.48,nan,nan,nan,nan,0.010463593607622163,0.010639160417702126,0.37888632078548046,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.0,SIV,1000,0.938,nan,nan,nan,nan,0.0,0.0012246482588266535,0.2583524062328746,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.0,TSLS,1000,0.926,nan,nan,nan,nan,0.0,0.001998121595061835,0.2583524062328746,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.6,SIV,1000,0.938,nan,nan,nan,nan,4.5470408422275624e-05,0.0012793005458137721,0.2570550504891454,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,0.6,TSLS,1000,0.87,nan,nan,nan,nan,0.010659717578508813,0.012657839173570648,0.2570550504891454,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,1.4,SIV,1000,0.936,nan,nan,nan,nan,0.00010696147937648452,0.0013528720204531272,0.25533573671410054,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,1.4,TSLS,1000,0.667,nan,nan,nan,nan,0.024872674349853897,0.026870795944915735,0.25533573671410054,0.0
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,2.0,SIV,1000,0.934,nan,nan,nan,nan,0.000153667099159566,0.0014085129204729036,0.2540550099348547,0.0
