method,config,T0,T1,branch,arm,severity,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,mcse_delta_rmse
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,1000,-0.006,0.008001751560004098,-0.0002248449444646603,-0.00010648135349869104,0.00011836359096596927,0.0003171633793194373,0.003101633103855626,0.0002629143232726241,0.013836271533770783,0.018034345736672487,0.004198074202901704,0.0003156945747925357
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,1000,0.016,0.009686993229988231,0.008171637976706314,-0.00010642068131749504,-0.008278058658023809,0.00035487166189129957,0.001162628210656722,0.0003525637521088792,0.016754739191444216,0.018034584504011946,0.0012798453125677303,0.0004505172738658636
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,1000,0.14,0.013877773329774218,0.019366948538267644,-0.00010634180597458975,-0.01947329034424223,0.0004843985163369032,-0.00661561211932162,0.0005408211318227433,0.026342572922192022,0.018034896107792676,-0.008307676814399347,0.0007572880702372381
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,1000,0.226,0.015785220086307734,0.027763431459438635,-0.00010628442591259568,-0.027869715885351233,0.0006102139770283211,-0.014182277878080523,0.0006702766637530662,0.03499238584214365,0.018035123504059617,-0.01695726233808403,0.0010037337715855068
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,1000,-0.006,0.008001751560004098,-0.0002248449444646603,-0.00010648135349869104,0.00011836359096596927,0.0003171633793194373,0.003101633103855626,0.0002629143232726241,0.013836271533770783,0.018034345736672487,0.004198074202901704,0.0003156945747925357
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,1000,0.026,0.009971129495870736,0.001783487709141271,-7.680871612210538e-05,-0.0018602964252633762,0.00045258253585747833,0.000970925777379694,0.00036245944345643106,0.0168150570022628,0.018051590580938928,0.0012365335786761293,0.00046729425220775906
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,1000,0.156,0.014278230558016207,0.004461264580615868,-4.6600335979112507e-05,-0.004507864916594981,0.0007899779099660614,-0.0069770095348854755,0.0005472462665331215,0.02643209816867381,0.018051085038508316,-0.008381013130165493,0.0007388249638829087
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,2.0,1000,0.237,0.015971414655129523,0.006469597234221807,-1.7286674690518478e-05,-0.006486883908912325,0.0010726698142208932,-0.014612862212789946,0.0006687028686986288,0.03508869602847746,0.018054659123172768,-0.01703403690530469,0.00096550051964231
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,0.0,1000,-0.006,0.008001751560004098,-0.0002248449444646603,-0.00010648135349869104,0.00011836359096596927,0.0003171633793194373,0.003101633103855626,0.0002629143232726241,0.013836271533770783,0.018034345736672487,0.004198074202901704,0.0003156945747925357
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,0.6,1000,0.016,0.009686993229988231,0.008171637976706314,-8.723796999112299e-05,-0.008258875946697436,0.0003552932017500808,0.001144483544810658,0.00035252123054413197,0.016754739191444216,0.018024277388611367,0.0012695381971671513,0.0004505955237624471
