config,T0,T1,branch,arm,severity,attempted_cells,retained_cells,excluded_cells,cap_bound_cells,mean_K,mean_q_w_rank1_trace_share,mean_q_w_rank2_trace_share,mean_achieved_max_kappa,mean_direction_corr_tsls,mean_direction_corr_siv,mean_lambda_tsls,mean_lambda_siv,mean_kappa_tsls,mean_kappa_siv
finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,1000,1000,0,0,4051.261232195326,0.914422329718871,0.9651226182545106,0.0,-0.4461985274822106,-7.461059401170048e-06,-0.01101915320000421,-2.2110281021607775e-07,4051.261232195326,0.18584161119390108
finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,1000,1000,0,0,4051.261232195326,0.914422329718871,0.9651226182545106,0.5999999999999998,-0.4461985274822106,-7.461059401170048e-06,-0.01101915320000421,-2.2110281021607775e-07,4051.261232195326,0.18584161119390108
finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,1000,1000,0,0,4051.261232195326,0.914422329718871,0.9651226182545106,1.3999999999999997,-0.4461985274822106,-7.461059401170048e-06,-0.01101915320000421,-2.2110281021607775e-07,4051.261232195326,0.18584161119390108
finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,1000,1000,0,0,4051.261232195326,0.914422329718871,0.9651226182545106,2.0,-0.4461985274822106,-7.461059401170048e-06,-0.01101915320000421,-2.2110281021607775e-07,4051.261232195326,0.18584161119390108
finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,1000,1000,0,0,3373.298546735194,0.914422329718871,0.9651226182545106,0.0,-0.11496390962754421,-9.060686872560966e-05,-0.0028395854869317895,-2.700200402397953e-06,3373.298546735194,0.8391296635216144
finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,1000,1000,0,0,3373.298546735194,0.914422329718871,0.9651226182545106,0.5999999999999998,-0.11496390962754421,-9.060686872560966e-05,-0.0028395854869317895,-2.700200402397953e-06,3373.298546735194,0.8391296635216144
finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,1000,1000,0,0,3373.298546735194,0.914422329718871,0.9651226182545106,1.3999999999999997,-0.11496390962754421,-9.060686872560966e-05,-0.0028395854869317895,-2.700200402397953e-06,3373.298546735194,0.8391296635216144
finite_length,5,10,Aggregate Shock,B_SIV_targeted,2.0,1000,1000,0,0,3373.298546735194,0.914422329718871,0.9651226182545106,2.0,-0.11496390962754421,-9.060686872560966e-05,-0.0028395854869317895,-2.700200402397953e-06,3373.298546735194,0.8391296635216144
finite_length,5,10,Aggregate Shock,C_random_geometry,0.0,1000,1000,0,0,3800.676629304717,0.914422329718871,0.9651226182545106,0.0,-0.4191468283919891,-6.854338139835832e-06,-0.010350760809010588,-2.0329140373245967e-07,3800.676629304717,0.24888473644345857
finite_length,5,10,Aggregate Shock,C_random_geometry,0.6,1000,1000,0,0,3800.676629304717,0.914422329718871,0.9651226182545106,0.5999999999999998,-0.4191468283919891,-6.854338139835832e-06,-0.010350760809010588,-2.0329140373245967e-07,3800.676629304717,0.24888473644345857
