label,n,T,T0,T1,tsls_tau,siv_tau,tsls_se_arima,siv_se_arima,tsls_p_arima,siv_p_arima,arima_critical,tsls_se_hac,siv_se_hac,tsls_p_hac,siv_p_hac,tsls_ar_l0_lo,tsls_ar_l0_hi,siv_ar_l0_lo,siv_ar_l0_hi,tsls_ar_l1_lo,tsls_ar_l1_hi,siv_ar_l1_lo,siv_ar_l1_hi,tsls_pi,tsls_pi_se_ols,tsls_pi_se_hac,tsls_f_hac,siv_pi,siv_pi_se_ols,siv_pi_se_hac,siv_f_hac,arima_order
restricted,49,15,5,10,-1.136098,-2.613394,4.945246,4.093662,0.8241,0.5411,2.306,4.185246,2.814552,0.786,0.3531,-14.9474,17.1953,-13.4776,9.8269,-10.0507,28.2025,-16.2358,17.8484,0.892771,0.539117,0.288646,9.566,0.89069,0.602206,0.34795,6.553,"(2, 0, 0)"
full,51,15,5,10,-0.695688,-2.216011,4.001484,4.193979,0.8663,0.6116,2.306,3.679032,2.622188,0.85,0.3981,-13.0572,13.1743,-10.4235,8.6136,-8.7896,19.539,-9.5844,9.8461,0.936517,0.519473,0.272811,11.784,1.017701,0.547294,0.308133,10.908,"(2, 0, 0)"
