unit,w_tsls,w_siv,D_tsls,D_siv
AK,-0.013084620190060294,0.0005681180593113147,-10.514936808457895,-10.514936808457895
AL,-0.0017847724883629046,0.008978438437706996,4.410023313724753,4.410023313724753
AR,0.004335619078391883,0.02947256898304797,12.493902183369757,12.493902183369757
AZ,-0.012727461312218458,0.010808023496514297,-10.043197529328307,-10.043197529328307
CA,-0.04787993668328427,-0.10378893829022127,-56.47296428010986,-56.47296428010986
CO,0.022371665870856438,0.001098660090091791,36.31610636218521,36.31610636218521
CT,-0.006490927414374686,-0.011660232145100468,-1.8059166222611465,-1.8059166222611465
DC,-0.00916181716601078,-0.013287219970033152,-5.333656472058154,-5.333656472058154
DE,-0.00546418648203451,-0.02109701938936357,-0.4497861791324409,-0.4497861791324409
FL,0.0006552989488650264,0.011793095229488244,7.632895856549671,7.632895856549671
GA,-0.0042252037613955155,-0.00887943718111284,1.186675495907006,1.186675495907006
HI,-0.01569718277800062,-0.00826769608588711,-13.965637514438074,-13.965637514438074
IA,0.020486889034763305,0.099972804492686,33.826672888344845,33.826672888344845
ID,0.03417280652217572,0.07448303780219172,51.903179592451096,51.903179592451096
IL,0.006955008258435711,0.019655496386554585,15.953619525467948,15.953619525467948
IN,0.010384465698923824,0.020355144360010503,20.48328372017378,20.48328372017378
KS,-0.05277306703372252,-0.09437027539348934,-62.93586336342782,-62.93586336342782
KY,-0.00011474910188259921,0.03008726699221116,6.6158081264339454,6.6158081264339454
LA,-0.008130027122009357,0.011493723085747996,-3.9708571080567165,-3.9708571080567165
MA,-0.013137300390851486,-0.03380369429416114,-10.584517383063252,-10.584517383063252
MD,-0.004377046923797164,-0.0026941660226540228,0.9861194173210736,0.9861194173210736
ME,-0.01461626442620913,-0.01456119834512976,-12.537948954228538,-12.537948954228538
MI,-0.02009685732039351,-0.01837064184379097,-19.776774870380695,-19.776774870380695
MN,0.014867218934216131,0.0469748439740099,26.404152305355943,26.404152305355943
MO,0.02192841878213956,0.05385520060605755,35.73066085017364,35.73066085017364
MS,0.0022200933224852592,-0.004077454247378323,9.699693059682735,9.699693059682735
MT,-0.0019176558765086785,-0.0027191463298854956,4.234509508465388,4.234509508465388
NC,-0.015162712584134985,-0.03548055109444961,-13.259703546076572,-13.259703546076572
ND,0.008295985445240028,-0.052271481120321275,17.724796586093703,17.724796586093703
NE,-0.029348637160035964,-0.05885747294245862,-31.996624979080405,-31.996624979080405
NH,-0.00698861978740086,0.015852445089885765,-2.463274050132879,-2.463274050132879
NJ,0.0031280027804792285,0.017311257053148312,10.898869616113402,10.898869616113402
NM,-0.010329455044963866,-0.0014557379536275876,-6.87588511447667,-6.87588511447667
NV,-0.03453408994871631,-0.06958618856219509,-38.8456266762351,-38.8456266762351
NY,-0.001708350839835658,-0.0020152999414797426,4.5109618473095265,4.5109618473095265
OH,-0.004970538286382721,0.010400719051327998,0.20222965585829444,0.20222965585829444
OK,-0.03972486327934272,-0.08023736997351046,-45.70165580229589,-45.70165580229589
OR,0.029796309199936016,0.06618827743881933,46.12265495764076,46.12265495764076
PA,-0.0008650704230522888,0.010392657203121243,5.624775672465663,5.624775672465663
RI,-0.013846827996603805,-0.020739236069590532,-11.521669059881905,-11.521669059881905
SC,-0.002319422994209029,0.006439664183539462,3.7038511873641875,3.7038511873641875
SD,0.13750665694096628,0.03431823711348643,188.38763827594013,188.38763827594013
TN,-0.003408130118635438,0.0037843602513290254,2.2658751326639557,2.2658751326639557
TX,-0.0004605256275238108,-0.038638833368373524,6.159102780254214,6.159102780254214
UT,-0.004149030846716768,0.002410263618033874,1.2872854991551004,1.2872854991551004
VA,-0.00022123015726812031,-0.005348828055689132,6.475166805652418,6.475166805652418
VT,-0.02145764274091353,-0.0501961404196691,-21.57411485869382,-21.57411485869382
WA,0.025721471042359403,0.01135369913461811,40.740564985132224,40.740564985132224
WI,0.018491832732007867,0.0736955614804906,31.1915811113414,31.1915811113414
WV,0.002293199443921797,0.02228883392413863,9.796252409501571,9.796252409501571
WY,0.05756328227068889,0.05837186150200341,82.79757100385035,82.79757100385035
