unit,w_tsls,w_siv,D_tsls,D_siv
AK,-0.01504168864734271,-0.003234785865997552,-10.514936808457895,-10.514936808457895
AL,-0.003319438575355505,0.006133180346613356,4.410023313724753,4.410023313724753
AR,0.003029740845284312,0.029383541723190073,12.493902183369757,12.493902183369757
AZ,-0.01467117872614586,0.006291711658001573,-10.043197529328307,-10.043197529328307
CO,0.02173999751357318,-9.513355539218165e-05,36.31610636218521,36.31610636218521
CT,-0.008201515429536272,-0.01861281775492575,-1.8059166222611465,-1.8059166222611465
DC,-0.010972246364138431,-0.005085428871776094,-5.333656472058154,-5.333656472058154
DE,-0.007136393643317072,-0.028969662624053684,-0.4497861791324409,-0.4497861791324409
FL,-0.0007881542310185045,0.009287851206757018,7.632895856549671,7.632895856549671
GA,-0.005851096206607397,-0.013349526058537535,1.186675495907006,1.186675495907006
HI,-0.017751912076279214,-0.01604279141370718,-13.965637514438074,-13.965637514438074
IA,0.01978476537365206,0.10874399589724923,33.826672888344845,33.826672888344845
ID,0.03398227948952218,0.06837510375544852,51.903179592451096,51.903179592451096
IL,0.005747046052833167,0.018337238971155207,15.953619525467948,15.953619525467948
IN,0.009304700880570367,0.020853282906404143,20.48328372017378,20.48328372017378
KS,-0.056213739028189436,-0.10977646314046499,-62.93586336342782,-62.93586336342782
KY,-0.0015869876362646681,0.030082981823353134,6.6158081264339454,6.6158081264339454
LA,-0.009901886724180228,0.009964811494232987,-3.9708571080567165,-3.9708571080567165
MA,-0.015096338099602502,-0.04304435612131843,-10.584517383063252,-10.584517383063252
MD,-0.006008615455395689,-0.006997194334990586,0.9861194173210736,0.9861194173210736
ME,-0.016630587651243225,-0.021974971592131028,-12.537948954228538,-12.537948954228538
MI,-0.022316051928671934,-0.025662669695069126,-19.776774870380695,-19.776774870380695
MN,0.013955025010798486,0.05017297490323433,26.404152305355943,26.404152305355943
MO,0.021280181297037886,0.058639065406737155,35.73066085017364,35.73066085017364
MS,0.0008351341037490159,-0.008420473423049274,9.699693059682735,9.699693059682735
MT,-0.0034572893099298935,-0.006720889347698953,4.234509508465388,4.234509508465388
NC,-0.01719746272139319,-0.043951039323404176,-13.259703546076572,-13.259703546076572
ND,0.0071381506357904075,-0.054945684011097264,17.724796586093703,17.724796586093703
NE,-0.03191367481300228,-0.06973882026552618,-31.996624979080405,-31.996624979080405
NH,-0.008717812162868103,0.013461097881092047,-2.463274050132879,-2.463274050132879
NJ,0.0017769823472195,0.014433045730093241,10.898869616113402,10.898869616113402
NM,-0.012183532000187914,-0.007586691842241389,-6.87588511447667,-6.87588511447667
NV,-0.03729296628046725,-0.08227251749063993,-38.8456266762351,-38.8456266762351
NY,-0.003240160190495917,-0.005649896144644369,4.5109618473095265,4.5109618473095265
OH,-0.006624292263743053,0.007174064357505745,0.20222965585829444,0.20222965585829444
OK,-0.0426777771783579,-0.0967407579084346,-45.70165580229589,-45.70165580229589
OR,0.029442183250617128,0.06853080804327648,46.12265495764076,46.12265495764076
PA,-0.0023653569022304153,0.008121588372415852,5.624775672465663,5.624775672465663
RI,-0.015832388730298852,-0.02705107835175062,-11.521669059881905,-11.521669059881905
SC,-0.0038740749825082574,0.003773755055100724,3.7038511873641875,3.7038511873641875
SD,0.14117887784088123,0.03842487274282861,188.38763827594013,188.38763827594013
TN,-0.00500347933419376,0.00020267677776030283,2.2658751326639557,2.2658751326639557
TX,-0.0019456897187697555,-0.041465866415536824,6.159102780254214,6.159102780254214
UT,-0.005772075853577125,-0.0016568602376820596,1.2872854991551004,1.2872854991551004
VA,-0.001697449086021261,-0.01010459452233931,6.475166805652418,6.475166805652418
WA,0.025215022571379517,0.008339900990955268,40.740564985132224,40.740564985132224
WI,0.017715131383356734,0.08145832489953078,31.191581111341403,31.191581111341403
WV,0.0009109730229889141,0.021590898507426983,9.796252409501573,9.796252409501573
WY,0.058247120332079426,0.06737419686204628,82.79757100385035,82.79757100385035
