anchor_mode,target_role,tau_true,config,T0,T1,branch,estimator,method,n,coverage,coverage_mcse,mean_bias,absolute_bias,mean_abs_error,rmse,mean_se,sd_error,mean_weight_corr,mean_weight_max_abs
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,SIV,AR,1000,0.677,0.014787528529135624,,,,,,,0.7433218813109314,0.11533076623697673
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,SIV,ARIMA-Z,1000,0.776,0.013184233007649704,0.012428291187463303,0.012428291187463303,0.04212256971975106,0.06622186138331508,0.03444363142178115,0.06507770440666649,0.7433218813109314,0.11533076623697673
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,SIV,HAC,1000,0.655,0.015032464867745409,0.012428291187463303,0.012428291187463303,0.04212256971975106,0.06622186138331508,0.027527512860677887,0.06507770440666649,0.7433218813109314,0.11533076623697673
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,TSLS,AR,1000,0.467,0.015776913513105152,,,,,,,0.7433218813109314,0.078057864834046
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,TSLS,ARIMA-Z,1000,0.53,0.015782902141241326,0.3565993450724941,0.3565993450724941,0.7393873792072094,2.703191765947988,3.3483947842600976,2.680908409566308,0.7433218813109314,0.078057864834046
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,TSLS,HAC,1000,0.416,0.01558666096378567,0.3565993450724941,0.3565993450724941,0.7393873792072094,2.703191765947988,2.3723548637125242,2.680908409566308,0.7433218813109314,0.078057864834046
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,SIV,AR,1000,0.84,0.011593101396951551,,,,,,,0.934528132971296,0.12442858978019095
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,SIV,ARIMA-Z,1000,0.902,0.009401914698613255,0.0010161214697011248,0.0010161214697011248,0.018203792578266088,0.026032084321514378,0.020860600571583347,0.026025261295648,0.934528132971296,0.12442858978019095
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,SIV,HAC,1000,0.835,0.011737759581794136,0.0010161214697011248,0.0010161214697011248,0.018203792578266088,0.026032084321514378,0.017665704016727964,0.026025261295648,0.934528132971296,0.12442858978019095
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,TSLS,AR,1000,0.834,0.011766222843376714,,,,,,,0.934528132971296,0.12417452807954846
