anchor_mode,endpoint_role,midpoint_role,branch,estimator,method,n_pairs,delta_mean_bias_endpoint_minus_midpoint,mcse_delta_mean_bias,delta_mean_abs_error_endpoint_minus_midpoint,mcse_delta_mean_abs_error,rmse_midpoint,rmse_endpoint,delta_rmse_endpoint_minus_midpoint,mcse_delta_rmse,coverage_midpoint,coverage_endpoint,delta_coverage_endpoint_minus_midpoint,mcse_delta_coverage
fixed_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,ARIMA-Z,1000,-0.0004210428382042882,5.579389778419559e-05,-0.00039384813585386004,5.5985589618303814e-05,0.24664420799251582,0.24626136214350328,-0.0003828458490125475,8.824959275579776e-05,0.781,0.782,0.001,0.0010000000000000002
fixed_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,HAC,1000,-0.0004210428382042879,5.5793897784195164e-05,-0.00039384813585384415,5.5985589618303475e-05,0.24664420799251582,0.24626136214350328,-0.0003828458490125475,8.824959275579943e-05,0.681,0.679,-0.002,0.0014135055705578234
fixed_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,AR,1000,,,,,,,,,0.714,0.714,0.0,0.0014149211999266963
fixed_template,restricted_robust,restricted_midpoint,Basic,TSLS,ARIMA-Z,1000,-1.3988810110276973e-17,1.404865885885243e-17,-7.771561172376097e-18,1.4053477889929192e-17,0.023618629710466427,0.023618629710466427,0.0,1.4165511384706053e-17,0.871,0.871,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Basic,TSLS,HAC,1000,7.327471962526034e-18,1.3469143356520513e-17,-1.354472090042691e-17,1.3464320452294478e-17,0.023618629710466417,0.023618629710466393,-2.42861286636753e-17,1.2324048479424966e-17,0.824,0.824,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Basic,TSLS,AR,1000,,,,,,,,,0.834,0.834,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Basic,SIV,ARIMA-Z,1000,-2.9763100023671995e-08,6.698097273745222e-08,-3.476296703857074e-07,6.60785145309701e-08,0.026032084352086034,0.026031630457667966,-4.538944180683402e-07,9.893155575949288e-08,0.88,0.88,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Basic,SIV,HAC,1000,-2.9763100013457943e-08,6.698097273712431e-08,-3.4762967039592143e-07,6.607851453057932e-08,0.026032084352086034,0.026031630457667966,-4.538944180683402e-07,9.893155576192776e-08,0.835,0.835,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Basic,SIV,AR,1000,,,,,,,,,0.84,0.84,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE,TSLS,ARIMA-Z,1000,-1.1102230246251566e-19,1.4633215964595542e-17,1.2323475573339238e-17,1.4628021114781964e-17,0.5664456330069622,0.5664456330069622,0.0,1.3786624154735222e-17,0.809,0.809,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE,TSLS,HAC,1000,8.215650382226158e-18,1.4645657973501756e-17,-1.8873791418627663e-17,1.4635787828927464e-17,0.566445633006962,0.566445633006962,0.0,1.435901090801177e-17,0.802,0.802,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE,TSLS,AR,1000,,,,,,,,,0.811,0.811,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE,SIV,ARIMA-Z,1000,6.082824503328421e-06,7.326231170764837e-06,1.3698519839847822e-05,7.314997368901052e-06,0.09046302932158667,0.09045544615914226,-7.583162444410596e-06,2.6963879916337133e-05,0.865,0.865,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE,SIV,HAC,1000,6.082824503328643e-06,7.3262311707659275e-06,1.3698519839821844e-05,7.314997368902206e-06,0.09046302932158669,0.09045544615914228,-7.583162444410596e-06,2.6963879916337475e-05,0.785,0.786,0.001,0.0010000000000000002
fixed_template,restricted_robust,restricted_midpoint,GFE,SIV,AR,1000,,,,,,,,,0.812,0.812,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,ARIMA-Z,1000,-3.6193270602780105e-17,4.506089538050169e-17,4.107825191113079e-17,4.5056702550248604e-17,2.703191765948007,2.703191765948009,1.7763568394002505e-15,6.892427561232911e-16,0.51,0.51,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,HAC,1000,-3.319566843629218e-17,4.475205329853164e-17,6.31716901011714e-17,4.471973471305125e-17,2.7031917659480094,2.7031917659480107,1.3322676295501878e-15,4.604396647675149e-16,0.416,0.416,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,AR,1000,,,,,,,,,0.467,0.467,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,ARIMA-Z,1000,0.00010569745747148263,9.554530360524251e-06,-7.70309210604836e-07,1.0093024838695955e-05,0.0662218613808857,0.06620932444466862,-1.2536936217083516e-05,2.1350027647276674e-05,0.744,0.744,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,HAC,1000,0.0001056974574714753,9.554530360524885e-06,-7.703092105943999e-07,1.0093024838696527e-05,0.0662218613808857,0.06620932444466865,-1.253693621705576e-05,2.1350027647277155e-05,0.655,0.655,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,AR,1000,,,,,,,,,0.677,0.676,-0.001,0.001
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,ARIMA-Z,1000,8.415490526658687e-17,5.906934403566335e-17,7.394085344003543e-17,5.908302479977843e-17,9.585562683230524,9.585562683230526,1.7763568394002505e-15,1.2869645987010455e-15,0.607,0.607,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,HAC,1000,5.784261958297066e-17,6.00890705676446e-17,9.070522111187528e-17,6.004839587059415e-17,9.585562683230982,9.585562683230984,1.7763568394002505e-15,1.1374827511313677e-15,0.495,0.495,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,AR,1000,,,,,,,,,0.564,0.564,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,ARIMA-Z,1000,0.0006671793087877936,9.51730509163834e-05,0.0006519174007877466,9.525392853692038e-05,0.24664420799251582,0.24729904304769237,0.0006548350551765503,0.00015871578357308053,0.781,0.781,0.0,0.0014149211999266963
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,HAC,1000,0.0006671793087877991,9.51730509163825e-05,0.0006519174007877424,9.525392853691963e-05,0.24664420799251582,0.24729904304769237,0.0006548350551765503,0.00015871578357307646,0.681,0.683,0.002,0.002449898365647441
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,AR,1000,,,,,,,,,0.714,0.716,0.002,0.00244989836564744
reanchored_template,restricted_tsls,restricted_midpoint,Basic,TSLS,ARIMA-Z,1000,-1.4432899320127034e-18,9.962904061975619e-18,-4.107825191113079e-18,9.962160980440411e-18,0.023618629710466427,0.023618629710466417,-1.0408340855860843e-17,9.729041800756029e-18,0.871,0.871,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Basic,TSLS,HAC,1000,1.2878587085651817e-17,9.326931760472517e-18,-5.3290705182007515e-18,9.334305152171482e-18,0.023618629710466417,0.02361862971046641,-6.938893903907228e-18,9.051533390839066e-18,0.824,0.824,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Basic,TSLS,AR,1000,,,,,,,,,0.834,0.834,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Basic,SIV,ARIMA-Z,1000,9.913777862413653e-09,2.3125457218623012e-08,1.1896011961654018e-07,2.2819278630323197e-08,0.026032084352086034,0.02603223142032064,1.4706823460441942e-07,4.002355643087739e-08,0.88,0.88,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Basic,SIV,HAC,1000,9.913777875181217e-09,2.3125457218635655e-08,1.1896011961154418e-07,2.281927863036763e-08,0.026032084352086034,0.026032231420320646,1.4706823461135832e-07,4.002355642601598e-08,0.835,0.835,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Basic,SIV,AR,1000,,,,,,,,,0.84,0.84,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,GFE,TSLS,ARIMA-Z,1000,0.0025193850304756175,0.0012060099397009285,0.025281931377404955,0.0009001744753303581,0.5664456330069627,0.5934717874243131,0.027026154417350345,0.0011394844969122922,0.809,0.802,-0.007,0.00457951656531254
reanchored_template,restricted_tsls,restricted_midpoint,GFE,TSLS,HAC,1000,0.002519385030475611,0.0012060099397009285,0.02528193137740495,0.0009001744753303581,0.5664456330069627,0.593471787424313,0.027026154417350234,0.0011394844969123059,0.802,0.794,-0.008,0.005654022282231294
reanchored_template,restricted_tsls,restricted_midpoint,GFE,TSLS,AR,1000,,,,,,,,,0.811,0.806,-0.005,0.005
reanchored_template,restricted_tsls,restricted_midpoint,GFE,SIV,ARIMA-Z,1000,0.00030265010239826295,0.00021006420288771746,-0.0002591898381159604,0.00020931268612904037,0.09046302932159989,0.09100412012729753,0.0005410908056976416,0.0010384203611566172,0.865,0.862,-0.003,0.0038737586406494147
reanchored_template,restricted_tsls,restricted_midpoint,GFE,SIV,HAC,1000,0.0003026501023982853,0.00021006420288771847,-0.00025918983811596785,0.00020931268612904143,0.0904630293215999,0.09100412012729753,0.0005410908056976277,0.0010384203611566215,0.785,0.786,0.001,0.004798126928502624
reanchored_template,restricted_tsls,restricted_midpoint,GFE,SIV,AR,1000,,,,,,,,,0.812,0.81,-0.002,0.004692336093889483
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,TSLS,ARIMA-Z,1000,-1.1102230246251566e-17,1.754115943643405e-17,3.996802888650563e-18,1.754422032607847e-17,2.703191765948007,2.7031917659480076,4.440892098500626e-16,2.2976191083917545e-16,0.51,0.51,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,TSLS,HAC,1000,-6.8833827526759705e-18,1.8258089774408897e-17,9.992007221626408e-18,1.825665167681126e-17,2.7031917659480094,2.7031917659480094,0.0,2.2972219293276393e-16,0.416,0.416,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,TSLS,AR,1000,,,,,,,,,0.467,0.467,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,SIV,ARIMA-Z,1000,-5.5466749785618386e-05,5.112645916103032e-06,7.755312613825228e-07,5.400834941379057e-06,0.0662218613808857,0.06622896902081321,7.107639927506071e-06,1.1534676564857705e-05,0.744,0.744,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,SIV,HAC,1000,-5.546674978561872e-05,5.112645916102926e-06,7.755312613928478e-07,5.400834941378955e-06,0.0662218613808857,0.06622896902081322,7.107639927519949e-06,1.153467656485835e-05,0.655,0.654,-0.001,0.0010000000000000002
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,SIV,AR,1000,,,,,,,,,0.677,0.676,-0.001,0.0017326286393806382
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,TSLS,ARIMA-Z,1000,-0.04356587416061846,0.04584183762466966,-0.027179443077173956,0.04585428784975495,9.585562683230496,8.535333966574472,-1.050228716656024,0.845447494280453,0.607,0.601,-0.006,0.004688921622930584
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,TSLS,HAC,1000,-0.0435658741606216,0.04584183762467287,-0.027179443077177092,0.04585428784975814,9.58556268323095,8.53533396657482,-1.0502287166561306,0.8454474942805099,0.495,0.507,0.012,0.004227750450756747
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,TSLS,AR,1000,,,,,,,,,0.564,0.568,0.004,0.003741389848438412
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,ARIMA-Z,1000,0.0018809943479019893,0.0006907677565785025,0.003055478037537104,0.0006860518124140781,0.2466442079925337,0.2552988397734375,0.008654631780903782,0.003016730092597582,0.781,0.77,-0.011,0.0035905280798083027
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,HAC,1000,0.001880994347901998,0.0006907677565785019,0.003055478037537121,0.0006860518124140774,0.24664420799253373,0.2552988397734375,0.008654631780903754,0.0030167300925975763,0.681,0.676,-0.005,0.005196345061868198
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,AR,1000,,,,,,,,,0.714,0.705,-0.009,0.004994391248585151
reanchored_template,restricted_robust,restricted_midpoint,Basic,TSLS,ARIMA-Z,1000,-1.3988810110276973e-17,1.404865885885243e-17,-7.771561172376097e-18,1.4053477889929192e-17,0.023618629710466427,0.023618629710466427,0.0,1.4165511384706053e-17,0.871,0.871,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Basic,TSLS,HAC,1000,7.327471962526034e-18,1.3469143356520513e-17,-1.354472090042691e-17,1.3464320452294478e-17,0.023618629710466417,0.023618629710466393,-2.42861286636753e-17,1.2324048479424966e-17,0.824,0.824,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Basic,TSLS,AR,1000,,,,,,,,,0.834,0.834,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Basic,SIV,ARIMA-Z,1000,-2.9763100023671995e-08,6.698097273745222e-08,-3.476296703857074e-07,6.60785145309701e-08,0.026032084352086034,0.026031630457667966,-4.538944180683402e-07,9.893155575949288e-08,0.88,0.88,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Basic,SIV,HAC,1000,-2.9763100013457943e-08,6.698097273712431e-08,-3.4762967039592143e-07,6.607851453057932e-08,0.026032084352086034,0.026031630457667966,-4.538944180683402e-07,9.893155576192776e-08,0.835,0.835,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Basic,SIV,AR,1000,,,,,,,,,0.84,0.84,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,GFE,TSLS,ARIMA-Z,1000,-0.003235626070254432,0.001370198461337419,-0.024746777626338427,0.0011109213633031865,0.5664456330069627,0.5398473647097758,-0.026598268297186922,0.0012752100416395826,0.809,0.838,0.029,0.00584749460822267
reanchored_template,restricted_robust,restricted_midpoint,GFE,TSLS,HAC,1000,-0.0032356260702544634,0.0013701984613374194,-0.024746777626338444,0.001110921363303187,0.5664456330069627,0.5398473647097758,-0.026598268297186922,0.0012752100416395786,0.802,0.802,0.0,0.005294150359408772
reanchored_template,restricted_robust,restricted_midpoint,GFE,TSLS,AR,1000,,,,,,,,,0.811,0.811,0.0,0.005659684799706785
reanchored_template,restricted_robust,restricted_midpoint,GFE,SIV,ARIMA-Z,1000,-0.0004592356733690517,0.00028882481293002546,0.0010943463988441913,0.0002837591180619822,0.09046302932159989,0.09080366833191218,0.0003406390103122964,0.0015542605657335568,0.865,0.875,0.01,0.004891208840759503
reanchored_template,restricted_robust,restricted_midpoint,GFE,SIV,HAC,1000,-0.0004592356733690439,0.0002888248129300247,0.0010943463988442085,0.0002837591180619813,0.0904630293215999,0.09080366833191218,0.0003406390103122825,0.0015542605657335588,0.785,0.786,0.001,0.005198656175015426
reanchored_template,restricted_robust,restricted_midpoint,GFE,SIV,AR,1000,,,,,,,,,0.812,0.818,0.006,0.005830780222062739
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,ARIMA-Z,1000,-3.6193270602780105e-17,4.506089538050169e-17,4.107825191113079e-17,4.5056702550248604e-17,2.703191765948007,2.703191765948009,1.7763568394002505e-15,6.892427561232911e-16,0.51,0.51,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,HAC,1000,-3.319566843629218e-17,4.475205329853164e-17,6.31716901011714e-17,4.471973471305125e-17,2.7031917659480094,2.7031917659480107,1.3322676295501878e-15,4.604396647675149e-16,0.416,0.416,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,AR,1000,,,,,,,,,0.467,0.467,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,ARIMA-Z,1000,0.00010569745747148263,9.554530360524251e-06,-7.70309210604836e-07,1.0093024838695955e-05,0.0662218613808857,0.06620932444466862,-1.2536936217083516e-05,2.1350027647276674e-05,0.744,0.744,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,HAC,1000,0.0001056974574714753,9.554530360524885e-06,-7.703092105943999e-07,1.0093024838696527e-05,0.0662218613808857,0.06620932444466865,-1.253693621705576e-05,2.1350027647277155e-05,0.655,0.655,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,AR,1000,,,,,,,,,0.677,0.676,-0.001,0.001
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,ARIMA-Z,1000,0.05400003832469311,0.055779599354780614,0.036847856894822686,0.0557934669120814,9.585562683230496,11.009521119155409,1.423958435924913,1.0044003134504151,0.607,0.603,-0.004,0.0034635236387234314
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,HAC,1000,0.05400003832469731,0.05577959935478481,0.036847856894826954,0.05579346691208559,9.58556268323095,11.009521119156007,1.4239584359250568,1.0044003134504826,0.495,0.503,0.008,0.004467208967124322
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,AR,1000,,,,,,,,,0.564,0.568,0.004,0.004242876618757845
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,ARIMA-Z,1000,-0.0027179221519386043,0.0007917885774612266,-0.00208334997642142,0.0007890162241104817,0.2466442079925337,0.23966529699952097,-0.006978910993012732,0.002741625391469123,0.781,0.791,0.01,0.00468208521087794
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,HAC,1000,-0.0027179221519385652,0.0007917885774612267,-0.0020833499764214016,0.0007890162241104818,0.24664420799253373,0.23966529699952094,-0.006978910993012788,0.0027416253914691337,0.681,0.697,0.016,0.006617234149385059
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,AR,1000,,,,,,,,,0.714,0.73,0.016,0.005981620163449012
