anchor_mode,target_role,tau_true,config,T0,T1,branch,method,n_pairs,coverage_tsls,coverage_robust,delta_coverage_robust_minus_tsls,mcse_delta_coverage,bias_tsls,bias_robust,delta_signed_bias_robust_minus_tsls,mcse_delta_signed_bias,absolute_bias_tsls,absolute_bias_robust,delta_absolute_bias_robust_minus_tsls,delta_mean_abs_error_robust_minus_tsls,mcse_delta_mean_abs_error,rmse_tsls,rmse_robust,delta_rmse_robust_minus_tsls,mcse_delta_rmse
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,AR,1000,0.467,0.677,0.21,0.017441450748266446,,,,,,,,,,,,,
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.53,0.776,0.246,0.016963837177118028,0.3565993450724941,0.012428291187463303,-0.3441710538850307,0.08471942276190919,0.3565993450724941,0.012428291187463303,-0.3441710538850308,-0.6972648094874583,0.08219664869216273,2.703191765947988,0.06622186138331508,-2.636969904564673,1.0988485742977376
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,HAC,1000,0.416,0.655,0.239,0.01772549556974905,0.3565993450724941,0.012428291187463303,-0.3441710538850307,0.08471942276190919,0.3565993450724941,0.012428291187463303,-0.3441710538850308,-0.6972648094874583,0.08219664869216273,2.703191765947988,0.06622186138331508,-2.636969904564673,1.0988485742977376
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,AR,1000,0.834,0.84,0.006,0.009594584725565566,,,,,,,,,,,,,
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,ARIMA-Z,1000,0.9,0.902,0.002,0.007749584250529576,0.00111621251301088,0.0010161214697011248,-0.00010009104330975527,0.000271534757076886,0.00111621251301088,0.0010161214697011248,-0.00010009104330975516,0.0011345800162487257,0.00025655866884196065,0.02361862971046641,0.026032084321514378,0.002413454611047968,0.0012135908964002672
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,HAC,1000,0.824,0.835,0.011,0.009745459146390897,0.00111621251301088,0.0010161214697011248,-0.00010009104330975527,0.000271534757076886,0.00111621251301088,0.0010161214697011248,-0.00010009104330975516,0.0011345800162487257,0.00025655866884196065,0.02361862971046641,0.026032084321514378,0.002413454611047968,0.0012135908964002672
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,AR,1000,0.811,0.812,0.001,0.015271942647621235,,,,,,,,,,,,,
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,ARIMA-Z,1000,0.849,0.884,0.035,0.013709958532503404,0.019795946262067324,-1.3798899964854171e-05,-0.019809745162032183,0.017671894684544043,0.019795946262067324,1.3798899964854171e-05,-0.01978214736210247,-0.32338081664385415,0.013264022877004034,0.5664456330069618,0.09046302931983664,-0.4759826036871252,0.06758480060133815
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,HAC,1000,0.802,0.785,-0.017,0.015651068843882707,0.019795946262067324,-1.3798899964854171e-05,-0.019809745162032183,0.017671894684544043,0.019795946262067324,1.3798899964854171e-05,-0.01978214736210247,-0.32338081664385415,0.013264022877004034,0.5664456330069618,0.09046302931983664,-0.4759826036871252,0.06758480060133815
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,AR,1000,0.564,0.714,0.15,0.018488965407557068,,,,,,,,,,,,,
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.636,0.809,0.173,0.01695164765910259,0.8799979008763771,0.060506590531507524,-0.8194913103448696,0.3018842885633514,0.8799979008763771,0.060506590531507524,-0.8194913103448696,-1.0156792763145508,0.30104605618415675,9.58556268323266,0.24664420799221878,-9.33891847524044,3.521166357067104
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,HAC,1000,0.495,0.681,0.186,0.01854043547891332,0.8799979008763771,0.060506590531507524,-0.8194913103448696,0.3018842885633514,0.8799979008763771,0.060506590531507524,-0.8194913103448696,-1.0156792763145508,0.30104605618415675,9.58556268323266,0.24664420799221878,-9.33891847524044,3.521166357067104
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,AR,1000,0.467,0.676,0.209,0.0174821230010724,,,,,,,,,,,,,
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.53,0.777,0.247,0.016978789099322697,0.356599345072494,0.012533988645059013,-0.34406535642743497,0.08471900032882795,0.356599345072494,0.012533988645059013,-0.344065356427435,-0.6972655797966545,0.08219662206807511,2.7031917659479894,0.06620932444683886,-2.6369824415011505,1.09884855679481
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Aggregate Shock,HAC,1000,0.416,0.655,0.239,0.01772549556974905,0.356599345072494,0.012533988645059013,-0.34406535642743497,0.08471900032882795,0.356599345072494,0.012533988645059013,-0.344065356427435,-0.6972655797966545,0.08219662206807511,2.7031917659479894,0.06620932444683886,-2.6369824415011505,1.09884855679481
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,AR,1000,0.834,0.84,0.006,0.009594584725565566,,,,,,,,,,,,,
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,ARIMA-Z,1000,0.9,0.902,0.002,0.007749584250529576,0.0011162125130108884,0.0010160917074954212,-0.0001001208055154672,0.00027149433255350573,0.0011162125130108884,0.0010160917074954212,-0.00010012080551546725,0.0011342323876856496,0.00025652070599130474,0.023618629710466403,0.02603163044082763,0.0024130007303612283,0.0012136313645826906
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,Basic,HAC,1000,0.824,0.835,0.011,0.009745459146390897,0.0011162125130108884,0.0010160917074954212,-0.0001001208055154672,0.00027149433255350573,0.0011162125130108884,0.0010160917074954212,-0.00010012080551546725,0.0011342323876856496,0.00025652070599130474,0.023618629710466403,0.02603163044082763,0.0024130007303612283,0.0012136313645826906
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,AR,1000,0.811,0.812,0.001,0.015271942647621235,,,,,,,,,,,,,
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,ARIMA-Z,1000,0.849,0.886,0.037,0.013704700610331435,0.019795946262067324,-7.71607545902775e-06,-0.019803662337526354,0.0176703882871906,0.019795946262067324,7.71607545902775e-06,-0.019788230186608295,-0.3233671181240162,0.013263580842380477,0.5664456330069618,0.09045544615734459,-0.47599018684961725,0.06758052158578254
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE,HAC,1000,0.802,0.786,-0.016,0.01562011485194613,0.019795946262067324,-7.71607545902775e-06,-0.019803662337526354,0.0176703882871906,0.019795946262067324,7.71607545902775e-06,-0.019788230186608295,-0.3233671181240162,0.013263580842380477,0.5664456330069618,0.09045544615734459,-0.47599018684961725,0.06758052158578254
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,AR,1000,0.564,0.716,0.152,0.018363911163835258,,,,,,,,,,,,,
