branch,state_index,weight
Basic,0,-0.013778640870002764
Basic,1,-0.0027461207458213993
Basic,2,0.001969745922923063
Basic,3,-0.015983769366292574
Basic,4,0.020519766689506086
Basic,5,-0.007329885800753035
Basic,6,-0.01114179001467677
Basic,7,-0.0068066623238977305
Basic,8,1.300737299846636e-05
Basic,9,-0.005335714020230748
Basic,10,-0.016358234613799153
Basic,11,0.018455949381574802
Basic,12,0.03444432857710188
Basic,13,0.006324003803040578
Basic,14,0.009255969277323098
Basic,15,-0.055870718231409044
Basic,16,-0.001613695192250022
Basic,17,-0.011239651916933503
Basic,18,-0.017052939776323377
Basic,19,-0.007281206523528598
Basic,20,-0.016832826163104688
Basic,21,-0.023638156667237013
Basic,22,0.015225325785425474
Basic,23,0.021082722965325887
Basic,24,-0.000383208302954737
Basic,25,-0.002727550404166805
Basic,26,-0.017925689404335948
Basic,27,0.007199902068328129
Basic,28,-0.03260546500643301
Basic,29,-0.008146505108631076
Basic,30,0.0027559318348412557
Basic,31,-0.013225956089922268
Basic,32,-0.03680306119809001
Basic,33,-0.003309732744253774
Basic,34,-0.005611787847293545
Basic,35,-0.04202904420747009
Basic,36,0.029569434408180446
Basic,37,-0.002054176471554735
Basic,38,-0.01477946548767804
Basic,39,-0.003099305861087068
Basic,40,0.14137337045294657
Basic,41,-0.003933306132708616
Basic,42,-0.0021054894237809976
Basic,43,-0.005752856797439731
Basic,44,-0.0020386380471624646
Basic,45,0.024682902705710514
Basic,46,0.017111784248964642
Basic,47,0.000846857943888441
Basic,48,0.05871024732314401
GFE,0,-0.016072949887793484
GFE,1,-0.0020918622410610248
GFE,2,0.0019219342945176682
GFE,3,-0.016596019312383487
GFE,4,0.023982966628466083
GFE,5,-0.01432533975488359
GFE,6,0.003308339233413903
GFE,7,-0.003942299144048739
GFE,8,-0.0006810312312559668
GFE,9,-0.004620363977352269
GFE,10,-0.020234716462771654
GFE,11,0.027214110405142454
GFE,12,0.02771464340496872
GFE,13,0.00970318784625027
GFE,14,0.011380867681754944
GFE,15,-0.05416684063741366
GFE,16,-0.0010673730150787112
GFE,17,-0.009249966692581357
GFE,18,-0.01670900729048039
GFE,19,-0.0036603964069494618
GFE,20,-0.007302374279905277
GFE,21,-0.024100243345468113
GFE,22,0.019104432011077303
GFE,23,0.02075865218301018
GFE,24,-0.004502944930163141
GFE,25,-0.007277217246417544
GFE,26,-0.02070452062555031
GFE,27,0.00971075196805065
GFE,28,-0.03542339617120201
GFE,29,-0.0068724265988801304
GFE,30,-0.0013428027842265584
