sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
full,51,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE,SIV,1000,0.924,0.0003121878772625355,0.008588460461718735,0.010884631205320421,0.010304376387574454,0.010885597431310876,0.6471437405686498,0.0,0.000312187877262539,1.9599639845400536
full,51,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE,TSLS,1000,0.921,-0.00172268296297745,0.06675226152722588,0.0837908107571176,0.07831847739162691,0.08381501827257566,0.6471437405686498,0.0,-0.0017226829629774412,1.9599639845400536
full,51,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.835,0.002190636946477146,0.011679787647209793,0.015288141527444206,0.010809551807966411,0.015137950279696518,0.5902694475638179,0.002057264550665022,0.002190636946477147,1.9599639845400536
full,51,0.5,3.0,ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.282,0.42125644655401207,0.4221808686956537,0.45385104487902783,0.15651768338051464,0.1689743456977305,0.5902694475638179,0.41876627109209025,0.42125644655401207,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.666,0.006665180361432542,0.037550628208872505,0.0809137129042243,0.034388073429351546,0.08067907671829744,0.7622738410354368,0.00573783752229048,0.00666518036143254,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,Aggregate Shock,TSLS,1000,0.455,0.4803991710288902,1.13022144933496,17.864207786796506,31.2621513854121,17.86668281582109,0.7622738410354368,0.4832267474167193,0.4803991710288902,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,Basic,SIV,1000,0.827,-0.0007998765441219771,0.01652661776101267,0.022827398074595433,0.017023459122589082,0.022824795106240244,0.9348370242970168,0.0,-0.000799876544121975,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,Basic,TSLS,1000,0.834,-0.0005931974966007516,0.015443054601280174,0.020946011908347145,0.01591372996137942,0.02094808711908072,0.9348370242970168,0.0,-0.0005931974966007495,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,GFE,SIV,1000,0.79,-0.0001473649329876321,0.04397230364276809,0.06682096512438351,0.03815630824276907,0.06685423810711993,0.9438365250796112,0.0,-0.0001473649329876281,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,GFE,TSLS,1000,0.823,0.009942882117239238,0.2972785825819551,0.44630781747633935,0.24099579106426589,0.44642031554783657,0.9438365250796112,0.0,0.00994288211723925,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.664,0.037379713537390884,0.11508462232580616,0.1847783243924298,0.07814377291495193,0.18104851489554533,0.7699744200253353,0.03700025194081166,0.03737971353739087,1.9599639845400536
full,51,0.5,3.0,HAC,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.65,0.28019134647161137,0.5306027838101254,2.8746120285556973,0.9397917701018325,2.862355708901989,0.7699744200253353,0.2727177516658917,0.28019134647161137,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,Aggregate Shock,SIV,1000,0.826,-0.0004086696419597242,0.014414691063033157,0.019027852354911685,0.012466850722133369,0.01903298213031346,0.4719695628392376,-0.0003385851687230251,-0.000408669641959729,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,Aggregate Shock,TSLS,1000,0.103,0.4188639265804737,0.41923464565300156,0.44384487027088554,0.09012913452074099,0.14687699863523504,0.4719695628392376,0.4187340791772613,0.4188639265804737,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,Basic,SIV,1000,0.931,0.0002054353268755702,0.015906053469218393,0.020542965535345643,0.018624066050879705,0.02055221698347422,0.3502919000736102,0.0,0.00020543532687557618,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,Basic,TSLS,1000,0.932,1.5015835883034789e-05,0.005361457230099294,0.006660083405060952,0.006219991002042994,0.006663399010521163,0.3502919000736102,0.0,1.5015835883041062e-05,1.9599639845400536
