abs_pi_floor,config,branch,estimator,n,coverage,mean_bias,rmse,trim1_rmse,trim5_rmse,winsor99_rmse,winsor95_rmse,median_bias,median_abs_bias,p90_abs_bias,p95_abs_bias,p99_abs_bias,max_abs_bias,mean_se,median_se,p95_se,p99_se,max_se,mean_pi,median_pi,p01_pi,p05_pi,p95_pi,p99_pi,min_pi,share_pi_le_zero,share_abs_pi_lt_0_05,share_abs_pi_lt_0_10,share_abs_pi_lt_0_20,share_abs_pi_lt_0_30
0.05,finite_length,Aggregate Shock,SIV,999,0.7437437437437437,0.012733886092168106,0.065603896378097,0.05377314561729881,0.04330085535634901,0.0585016143506299,0.05038619079728537,0.0093687467139518,0.0275234786599953,0.09111916834967687,0.12303564914691109,0.23648939009062242,0.6262700622424724,0.032404600062872435,0.0210603918651744,0.08265514817742396,0.20013557134249135,0.6282732988419774,0.8340839488979201,0.8784783002668645,0.2570952244334593,0.45825022918354624,1.0464738062696333,1.147641786968785,0.0818897028090337,0.0,0.0,0.003003003003003003,0.009009009009009009,0.022022022022022022
0.05,finite_length,Aggregate Shock,TSLS,991,0.5055499495459133,0.489346632445556,0.7490491667820321,0.671199564833701,0.6243208806314721,0.6903016724395971,0.659970627161072,0.5678490857309977,0.5913579460171228,1.0012090910631266,1.138959462158672,1.7400736711422606,7.229235513836662,0.40822933075398843,0.2381169054380632,1.167063526055233,3.400375437161249,10.597198703113538,0.7758650496560858,0.8096736102515312,-0.07805960234617763,0.23270239657253572,1.2580170659072945,1.3980759857499148,-0.2510681561270057,0.015136226034308779,0.0,0.012108980827447022,0.03834510595358224,0.07164480322906155
0.05,finite_length,Basic,SIV,999,0.8808808808808809,0.000653256768436903,0.0233681445239227,0.02201584866479509,0.0193370484236739,0.022972924457493382,0.021548511667577146,0.0012939488174232,0.0145503295613746,0.03710675863052428,0.0466953035158412,0.06918206700955887,0.1067243906633741,0.019687157111975787,0.0154957789011383,0.046309454992477864,0.0729318209193582,0.1617218179334874,0.8765973695188078,0.9092934676839338,0.34327312500415774,0.6101925691310784,1.0096959084271786,1.04592836662172,0.1742084579493452,0.0,0.0,0.0,0.001001001001001001,0.004004004004004004
0.05,finite_length,Basic,TSLS,1000,0.871,0.001116212513010889,0.023618629710466372,0.020860099703277638,0.01820550394696362,0.02185930808930135,0.020371346795407454,0.00082517680200695,0.0132549308896098,0.03509040013545429,0.04474894747231381,0.06858354621089409,0.2540311480759416,0.01825597560083322,0.01453028654238625,0.04310343713337519,0.06898567901903795,0.1656945176617266,0.8757828246421302,0.9117100784391685,0.343885200491354,0.616135101909352,1.0082931229569891,1.0460810918806323,0.067184638990547,0.0,0.0,0.001,0.002,0.007
0.05,finite_length,GFE,SIV,999,0.8648648648648649,-0.00149767079115327,0.07740877510265592,0.06502379611331577,0.05010784375620468,0.07223312748725026,0.06004501508010426,-0.0009095816050561,0.0296934180690742,0.11058104598185324,0.15614435772953592,0.3210641766948701,0.7150201236662865,0.0534601540817556,0.0352532763685079,0.14535939548294458,0.3717943264990365,0.8009403872963926,0.8712111664407158,0.9039189791416088,0.3119591200134938,0.6058581644146225,1.0187303964338208,1.0615371895966783,0.1460577354400282,0.0,0.0,0.0,0.001001001001001001,0.007007007007007007
0.05,finite_length,GFE,TSLS,1000,0.809,0.01979594626206733,0.5664456330069618,0.4468649219255058,0.3819794643131129,0.47031196784136037,0.42794494384620585,0.00046336350133314996,0.28322888789806067,0.7322741846731954,0.9436522597275563,1.5330352648194132,8.527424957571991,0.3675847527500469,0.2814203108316041,0.9255485476158277,1.653142310271756,2.8675126005535003,0.8706138530661254,0.9040986663276462,0.32439166545066545,0.6100527472832107,1.0232582532792103,1.06874229426162,0.0643958508302869,0.0,0.0,0.001,0.002,0.009
0.05,finite_length,GFE + Agg. Shock,SIV,1000,0.781,0.060506590531514685,0.24664420799222445,0.2123899487890673,0.1551101181376831,0.23415007111516803,0.19208487518529488,0.0254904305731651,0.07711296316493704,0.3403389104761754,0.5299133507225234,1.0083580891767487,1.911583774507983,0.12419184415098801,0.07038504450817595,0.4084136775499973,0.8747570139089037,1.6462318405050913,0.829398204747115,0.8750539357347934,0.20286901738967575,0.44732082064203665,1.0535928906449405,1.147755072935131,0.0763248565458646,0.0,0.0,0.004,0.01,0.029
0.05,finite_length,GFE + Agg. Shock,TSLS,990,0.603030303030303,0.48969120019970325,0.8943222438288412,0.7827686337128681,0.7036980266494431,0.8298663237302223,0.7621016126241226,0.5762228458505082,0.635950021082229,1.2129935086599055,1.479942034925317,2.8516510106021555,8.185341228133584,0.5214500718724833,0.33141127164312467,1.5563307577287557,3.4044498419755107,8.434734216124605,0.7733455302157978,0.8016582657736261,-0.08242104082779468,0.23321554597924543,1.26048154476376,1.4145525712544416,-0.2804503632812005,0.014141414141414142,0.0,0.00909090909090909,0.03838383838383838,0.07272727272727272
0.05,longer_length,Aggregate Shock,SIV,1000,0.826,0.002326013637549722,0.024152652158303263,0.02230464622761875,0.01920488196475911,0.023335207726082042,0.021760731941599727,0.0023740725945873,0.01400350115365785,0.03828618199316673,0.04962727836943011,0.07211771537809827,0.1462772329600326,0.015658760598931506,0.014269122770620549,0.02800772709872877,0.03607988775284784,0.0511911299327534,0.9873880393504099,0.9880036224238316,0.8877528751189201,0.9184945902572942,1.0511998372973759,1.0788304990774389,0.8462315039646066,0.0,0.0,0.0,0.0,0.0
0.05,longer_length,Aggregate Shock,TSLS,1000,0.174,0.4318538144798718,0.45569824159367506,0.44917446111692194,0.4358216682246829,0.45375976985571853,0.4475579291204347,0.44003085914749035,0.44003085914749035,0.5982069697813122,0.6303110303514252,0.7847170945655628,1.1637030374255022,0.12327778370341247,0.11349098923261565,0.23286252952753264,0.2811037134958263,0.5952030165053291,0.9931437204496049,0.994884367003155,0.5702389381278458,0.6827557964806327,1.292723309503984,1.4028919685377044,0.4869813431062433,0.0,0.0,0.0,0.0,0.0
