config,branch,estimator,rep,bias,se,pi,abs_pi,bias_component_gfe,bias_component_shock,bias_component_eps,weight_corr
finite_length,GFE + Agg. Shock,TSLS,519,245.6999203708185,124036.7415042067,0.0003783854099857,0.0003783854099857,-470.54044002982334,620.5250361514546,95.71532424918504,0.7210915417638215
finite_length,GFE + Agg. Shock,TSLS,472,173.97068272413534,4674.266590881422,0.002868251411881,0.002868251411881,65.00638663951494,103.22889414148196,5.7354019431378624,0.6247567738602464
finite_length,Aggregate Shock,TSLS,472,-76.88896853440644,1560.4806614294018,-0.0040218484914595,0.0040218484914595,-0.0,-72.6115764758678,-4.277392058538561,0.637350065387645
finite_length,Aggregate Shock,TSLS,498,-23.62013388834144,197.13810138489157,-0.0208558551371399,0.0208558551371399,-0.0,-23.99655039133863,0.3764165029972123,0.7370716070839375
finite_length,Aggregate Shock,TSLS,519,-14.279992265801347,138.89124712309444,-0.018695622614211,0.018695622614211,-0.0,-12.359492692476886,-1.9204995733244803,0.7277215452434671
finite_length,GFE + Agg. Shock,TSLS,498,-12.174419251597191,137.20890824502095,0.0138836167629839,0.0138836167629839,-46.977750409469664,35.43004809762028,-0.6267169397478202,0.7260159768303386
finite_length,GFE + Agg. Shock,TSLS,957,-11.252223729450067,48.9409889021947,-0.0109024400344075,0.0109024400344075,-6.60601189326894,-4.98143442121118,0.3352225850300531,0.587672499051171
finite_length,GFE,TSLS,29,8.527424957571991,2.858560374486041,0.2651051872113408,0.2651051872113408,8.383096105948177,0.0,0.1443288516238189,0.925925765917455
finite_length,GFE + Agg. Shock,TSLS,161,-8.185341228133584,8.434734216124605,0.1008324466510759,0.1008324466510759,-2.6210988141849745,-5.478040956011581,-0.0862014579370349,0.7437930395630233
finite_length,GFE + Agg. Shock,TSLS,997,-8.110397539625477,117.33723859563968,0.0182773337168944,0.0182773337168944,-3.724770029814955,-3.674520363585332,-0.7111071462252031,0.5964020395379788
finite_length,Aggregate Shock,TSLS,161,-7.229235513836662,10.597198703113538,0.0780532373184086,0.0780532373184086,0.0,-7.110269593294251,-0.1189659205424109,0.7568542537194847
finite_length,GFE + Agg. Shock,TSLS,451,6.916552958916647,16.94139019830498,0.031344711430321,0.031344711430321,6.034999418946742,1.061880744373608,-0.1803272044036984,0.6418341108250227
finite_length,GFE + Agg. Shock,TSLS,287,-6.616615387024946,16.05792657432473,0.0307965204451125,0.0307965204451125,0.1628517297558048,-6.886263066742536,0.1067959499617909,0.5648863876585734
finite_length,GFE + Agg. Shock,TSLS,243,-5.478150660033278,4.84636961710931,0.1806747069012588,0.1806747069012588,-2.0661826232513345,-3.368736376463109,-0.0432316603188343,0.6139389237076858
finite_length,Aggregate Shock,TSLS,287,-5.309413743407487,10.751321169382742,0.0393418215348092,0.0393418215348092,0.0,-5.392207369072743,0.0827936256652613,0.5535163980152973
finite_length,Aggregate Shock,TSLS,957,-5.026012974958674,20.91334031876529,-0.0109028116506444,0.0109028116506444,-0.0,-5.3470593345578,0.3210463595991113,0.5890734176827878
finite_length,GFE + Agg. Shock,TSLS,29,-4.891938829118023,5.4811536945773085,-0.2359203402998451,0.2359203402998451,-5.396785234921863,0.621360975775283,-0.1165145699714447,0.7163066359891858
finite_length,Aggregate Shock,TSLS,997,-4.748524239189712,77.18244173291242,0.0171395089868273,0.0171395089868273,0.0,-3.987187697091284,-0.7613365420984215,0.5901990660573617
finite_length,Aggregate Shock,TSLS,243,-4.08933641654531,4.651617559158814,0.1514454553474399,0.1514454553474399,0.0,-4.040015463569016,-0.049320952976296,0.5560318484478812
finite_length,GFE + Agg. Shock,TSLS,789,3.704445453253332,6.5492448531757885,-0.0267671407022293,0.0267671407022293,6.9616243098886965,-2.7611207012662744,-0.4960581553690888,0.6823873153552852
finite_length,GFE + Agg. Shock,TSLS,692,3.626862230717826,5.416016026538755,0.1563527005369189,0.1563527005369189,1.5939975164044005,1.9898900493432972,0.042974664970128,0.7058231229870877
finite_length,GFE,TSLS,642,3.425425302035558,0.9280945970213728,0.2237632238942143,0.2237632238942143,3.347599110466013,0.0,0.0778261915695452,0.8997298845204715
finite_length,Aggregate Shock,TSLS,473,3.3979645521572457,10.27531872894885,0.0648932167478948,0.0648932167478948,0.0,3.4659799966079503,-0.0680154444507031,0.7975500510578531
finite_length,GFE + Agg. Shock,TSLS,661,3.3458591639007924,2.072770551286476,0.1995184008472553,0.1995184008472553,3.331748150409328,-7.272914097726805e-05,0.0141837426324425,0.7720651836587412
finite_length,GFE + Agg. Shock,TSLS,88,3.307732794981135,6.3464676201875845,-0.034213660470073,0.034213660470073,2.2762343132190663,1.498285720763277,-0.4667872390012129,0.7563887755341385
