method,config,T0,T1,branch,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls
ARIMA-Z,finite_length,5,10,Aggregate Shock,1000,0.234,0.01713293721279389,0.3565993450724941,0.012428291187400579,-0.34417105388509345,0.08471942276190962,-0.6972648094875588,0.08219664869216245,2.703191765947988,0.06622186138298795,-2.636969904565
ARIMA-Z,finite_length,5,10,Basic,1000,0.009,0.008184496684951739,0.001116212513010889,0.0010161214696911478,-0.00010009104331974132,0.00027153475707286667,0.0011345800162448404,0.00025655866883744777,0.023618629710466372,0.02603208432141821,0.0024134546109518366
ARIMA-Z,finite_length,5,10,GFE,1000,0.056,0.014801455437999435,0.01979594626206733,-1.3798899967069872e-05,-0.019809745162034403,0.01767189468454398,-0.3233808166438503,0.013264022877004091,0.5664456330069618,0.09046302931984143,-0.4759826036871204
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,1000,0.174,0.017029797826574867,0.8799979008763771,0.060506590531514685,-0.8194913103448626,0.3018842885633514,-1.0156792763145466,0.30104605618415675,9.585562683232657,0.24664420799222445,-9.338918475240433
ARIMA-Z,longer_length,30,60,Aggregate Shock,1000,0.652,0.015592919519420958,0.4318538144798718,0.002326013637549722,-0.4295278008423221,0.0046166189926595555,-0.41443793033096876,0.004461949035035169,0.45569824159367506,0.024152652158303263,-0.4315455894353718
ARIMA-Z,longer_length,30,60,Basic,1000,-0.007,0.011361341473614818,1.8572646448880833e-05,-0.00030918212924734104,-0.0003277547756962218,0.0005524115378452543,0.009470599337145981,0.00037252233660017397,0.006737924609924944,0.018961417521019753,0.01222349291109481
ARIMA-Z,longer_length,30,60,GFE,1000,0.02,0.012237228025568115,-0.0021887933351072164,-9.490686654965114e-05,0.0020938864685575652,0.0035614014983876515,-0.08188050003591656,0.002133258522181635,0.11334405271000918,0.011854691445636396,-0.10148936126437277
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,1000,0.514,0.017149288559532086,0.42796868248873154,0.006983443783216243,-0.4209852387055153,0.005838746522700517,-0.4158559430372734,0.0055555254618401525,0.4666162118269804,0.020471954866801572,-0.4461442569601788
