sample,n_units,h_z_corr,theta_y_scale_multiplier,config,T0,T1,branch,method,n_pairs,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_error_siv_minus_tsls,mcse_delta_abs_error,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,delta_coverage_siv_minus_tsls,mcse_delta_coverage
restricted,49,0.25,1.5,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.12403833730019159,0.008576825768486547,-0.115461511531705,0.062319859127986335,-0.37869317134605923,0.06084774516761185,1.9739908713631042,0.056854083203181645,-1.9171367881599226,0.083,0.015242812842233004
restricted,49,0.25,1.5,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.25,1.5,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.25,1.5,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.12821971233283608,0.027232136799794866,-0.10098757553304105,0.5015076309917308,-1.265622003790783,0.4991326463788725,15.84201181886963,0.199826518450446,-15.642185300419182,0.022,0.015091180992345953
restricted,49,0.25,3.0,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.25213458026907914,0.004971120573130763,-0.24716345969594836,0.11710883448677911,-0.7812498443854368,0.11428203081384722,3.709684579034814,0.05556073064620046,-3.654123848388614,0.095,0.015498877869549628
restricted,49,0.25,3.0,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.25,3.0,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.25,3.0,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.13005264407194483,0.02196305123211076,-0.10808959283983373,0.8358860662953048,-2.044065735477109,0.8328562228888898,26.414329071450503,0.2369838684663002,-26.177345202984203,0.043,0.015472245809525853
restricted,49,0.25,4.5,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.3802308232379667,0.003615480258556069,-0.3766153429794107,0.17197362715948197,-1.1833085096458102,0.16780122039530776,5.448215524932565,0.05501154655888796,-5.393203978373677,0.098,0.01557686228476835
restricted,49,0.25,4.5,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.25,4.5,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.25,4.5,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.13188557581105306,0.017040425176809117,-0.1148451506342438,1.1862388862923288,-2.8612079290489123,1.1823623427405674,37.489330781914404,0.28712299128220203,-37.2022077906322,0.074,0.015898955210226134
restricted,49,0.5,1.5,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.1750391947145904,0.01997542768539171,-0.1550637670291987,0.044427118488240276,-0.3291779471092915,0.043184201148158886,1.417194322329497,0.06793028959206356,-1.3492640327374334,0.224,0.016973865561860448
restricted,49,0.5,1.5,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.5,1.5,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.5,1.5,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.26388890563907247,0.06935736534086448,-0.194531540298208,0.14329833607871695,-0.5556421689862041,0.14193061720427136,4.5411777072750095,0.2130471446852641,-4.328130562589745,0.057,0.016553701248513124
restricted,49,0.5,3.0,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.35659934507249336,0.01242829118796244,-0.3441710538845309,0.084719422761907,-0.6972648094879559,0.08219664869216557,2.703191765948008,0.06622186138077171,-2.6369699045672363,0.234,0.01713293721279389
restricted,49,0.5,3.0,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.5,3.0,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.8799979008762926,0.060506590531478596,-0.819491310344814,0.3018842885632835,-1.015679276314424,0.3010460561840891,9.585562683230513,0.24664420799252793,-9.338918475237985,0.174,0.017029797826574867
restricted,49,0.5,4.5,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.5381594954303962,0.009339011004069123,-0.5288204844263271,0.12503504250294156,-1.0641076666637739,0.12123091521898181,3.990012357842149,0.06589008851938258,-3.9241222693227664,0.237,0.017237404912808892
restricted,49,0.5,4.5,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.5,4.5,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.5,4.5,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,1.4961068961135129,0.05129041112539821,-1.444816484988115,0.599970876531805,-1.6510213686713726,0.5992517763886573,19.02456703153352,0.27809855768533576,-18.746468473848182,0.23,0.017418478791312503
restricted,49,0.75,1.5,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.37176107805535186,0.04630956552851843,-0.3254515125268334,0.013231311787869552,-0.314124104667722,0.012868723396540552,0.5501467093122494,0.12370835358630826,-0.42643835572594113,0.371,0.01617469074265782
restricted,49,0.75,1.5,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.75,1.5,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.75,1.5,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.3468241662027018,0.13539258435628207,-0.21143158184641983,0.03866198193550383,-0.29812791283785506,0.03665381820965844,1.2505040332751365,0.2762871818948438,-0.9742168513802927,0.025,0.01807489147136717
restricted,49,0.75,3.0,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.7438022763371883,0.03913466578383873,-0.7046676105533497,0.02721480022398127,-0.6898563919103048,0.02668027002437549,1.085390309836854,0.3428247054368906,-0.7425656043999634,0.386,0.016039365986885556
restricted,49,0.75,3.0,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.75,3.0,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.75,3.0,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.7139130264363025,0.13021519504013102,-0.5836978313961715,0.039906653914805336,-0.6201610996043663,0.03759800350345799,1.4319711171603642,0.30996302035517576,-1.1220080968051884,0.279,0.017817869582991017
restricted,49,0.75,4.5,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,1.1158434746190247,1.5143146654026642,0.39847119078363946,1.493241196887579,0.41114335751506986,1.4932087641673393,1.6211602364148479,47.202131377084086,45.58097114066924,0.388,0.016115697804181976
