sample,n_units,h_z_corr,theta_y_scale_multiplier,config,T0,T1,branch,estimator,n,mean_bias_component_total,mean_abs_bias_component_total,rmse_bias_component_total,mean_bias_component_gfe,mean_abs_bias_component_gfe,rmse_bias_component_gfe,mean_bias_component_shock,mean_abs_bias_component_shock,rmse_bias_component_shock,mean_bias_component_eps,mean_abs_bias_component_eps,rmse_bias_component_eps
restricted,49,0.25,1.5,finite_length,5,10,Aggregate Shock,SIV,1000,0.008576825768486543,0.0372606134355857,0.056854083203181666,0.0,0.0,0.0,0.007246337954017281,0.027348478013324417,0.04894406314301519,0.0013304878144692629,0.019759534286100642,0.02933849597715027
restricted,49,0.25,1.5,finite_length,5,10,Aggregate Shock,TSLS,1000,0.1240383373001915,0.4159537847816449,1.9739908713631058,0.0,0.0,0.0,0.12809624296888755,0.40173984018852454,1.7401397953158366,-0.004057905668696069,0.04043946258522088,0.29613047631866923
restricted,49,0.25,1.5,finite_length,5,10,Basic,SIV,1000,0.0010161214716780723,0.01820379258067261,0.026032084351492485,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161214716780723,0.01820379258067261,0.026032084351492485
restricted,49,0.25,1.5,finite_length,5,10,Basic,TSLS,1000,0.0011162125130108988,0.01706921256201737,0.02361862971046641,0.0,0.0,0.0,0.0,0.0,0.0,0.0011162125130108986,0.017069212562017367,0.02361862971046641
restricted,49,0.25,1.5,finite_length,5,10,GFE,SIV,1000,-1.3798899868923714e-05,0.04961722585604871,0.09046302932158308,-0.0010245383554355464,0.044779611882732155,0.08055337138651004,0.0,0.0,0.0,0.0010107394555666244,0.018459153322686227,0.027023358334355957
restricted,49,0.25,1.5,finite_length,5,10,GFE,TSLS,1000,0.019795946262067324,0.3729980424998015,0.566445633006962,0.018607778105260566,0.3727068921197002,0.564489708447905,0.0,0.0,0.0,0.001188168156806767,0.01726686004941589,0.024414140259799835
restricted,49,0.25,1.5,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.027232136799794873,0.12616209116796584,0.19982651845044597,-0.00572627936493053,0.09007601795684411,0.15253807741758654,0.031727813236992884,0.07492746992380481,0.13650791488463773,0.0012306029277325179,0.01969881886963674,0.028977296366321608
restricted,49,0.25,1.5,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.12821971233283644,1.3917840949587488,15.842011818869628,0.20166297420612733,0.9369497190549826,8.498410321032262,0.0018329317391084174,0.8853854887665952,11.423346715285534,-0.07527619361239933,0.10797009847512345,1.9555379383034939
restricted,49,0.25,3.0,finite_length,5,10,Aggregate Shock,SIV,1000,0.00497112057313076,0.03542792312098493,0.05556073064620044,0.0,0.0,0.0,0.003629978639497329,0.025628388262860638,0.04796663712114531,0.0013411419336334266,0.019851876760606495,0.029441257045841187
restricted,49,0.25,3.0,finite_length,5,10,Aggregate Shock,TSLS,1000,0.2521345802690791,0.8166777675064215,3.709684579034814,0.0,0.0,0.0,0.2561924859377751,0.8034796803770491,3.4802795906316732,-0.004057905668696069,0.04043946258522088,0.29613047631866923
