unit,w_tsls,w_rob,D_tsls,D_rob
AK,-19.15132349619119,-0.003234785865997357,-10.514936808457895,-10.514936808457895
AL,-4.22636337400854,0.006133180346613571,4.410023313724753,4.410023313724753
AR,3.8575154956364646,0.029383541723190486,12.493902183369757,12.493902183369757
AZ,-18.6795842170616,0.006291711658001509,-10.043197529328307,-10.043197529328307
CO,27.679719674451917,-9.513355539166481e-05,36.31610636218521,36.31610636218521
CT,-10.44230330999444,-0.018612817754925473,-1.8059166222611465,-1.8059166222611465
DC,-13.970043159791446,-0.005085428871776199,-5.333656472058154,-5.333656472058154
DE,-9.086172866865734,-0.02896966262405388,-0.4497861791324409,-0.4497861791324409
FL,-1.0034908311836217,0.0092878512067574,7.632895856549671,7.632895856549671
GA,-7.449711191826286,-0.013349526058537082,1.186675495907006,1.186675495907006
HI,-22.602024202171364,-0.016042791413707392,-13.965637514438074,-13.965637514438074
IA,25.190286200611553,0.10874399589724766,33.826672888344845,33.826672888344845
ID,43.2667929047178,0.0683751037554487,51.903179592451096,51.903179592451096
IL,7.317232837734656,0.018337238971155318,15.953619525467948,15.953619525467948
IN,11.846897032440488,0.020853282906403977,20.48328372017378,20.48328372017378
KS,-71.57225005116112,-0.10977646314046613,-62.93586336342782,-62.93586336342782
KY,-2.020578561299347,0.03008298182335347,6.6158081264339454,6.6158081264339454
LA,-12.607243795790009,0.009964811494233202,-3.9708571080567165,-3.9708571080567165
MA,-19.220904070796543,-0.04304435612131811,-10.584517383063252,-10.584517383063252
MD,-7.650267270412219,-0.006997194334990327,0.9861194173210736,0.9861194173210736
ME,-21.174335641961832,-0.021974971592131576,-12.537948954228538,-12.537948954228538
MI,-28.413161558113988,-0.02566266969506905,-19.776774870380695,-19.776774870380695
MN,17.76776561762265,0.05017297490323463,26.404152305355943,26.404152305355943
MO,27.09427416244035,0.05863906540673729,35.73066085017364,35.73066085017364
MS,1.0633063719494427,-0.008420473423048665,9.699693059682735,9.699693059682735
MT,-4.401877179267904,-0.006720889347698991,4.234509508465388,4.234509508465388
NC,-21.896090233809865,-0.043951039323403975,-13.259703546076572,-13.259703546076572
ND,9.08840989836041,-0.054945684011098395,17.724796586093703,17.724796586093703
NE,-40.6330116668137,-0.06973882026552604,-31.996624979080405,-31.996624979080405
NH,-11.099660737866172,0.013461097881092295,-2.463274050132879,-2.463274050132879
NJ,2.262482928380109,0.014433045730093377,10.898869616113402,10.898869616113402
NM,-15.512271802209963,-0.007586691842241279,-6.87588511447667,-6.87588511447667
NV,-47.48201336396839,-0.08227251749063966,-38.8456266762351,-38.8456266762351
NY,-4.125424840423766,-0.005649896144644395,4.5109618473095265,4.5109618473095265
OH,-8.434157031874998,0.0071740643575060395,0.20222965585829444,0.20222965585829444
OK,-54.33804249002918,-0.09674075790843534,-45.70165580229589,-45.70165580229589
OR,37.48626826990747,0.06853080804327626,46.12265495764076,46.12265495764076
PA,-3.011611015267629,0.008121588372416017,5.624775672465663,5.624775672465663
RI,-20.158055747615197,-0.027051078351750326,-11.521669059881905,-11.521669059881905
SC,-4.932535500369105,0.0037737550551011647,3.7038511873641875,3.7038511873641875
SD,179.75125158820686,0.03842487274282825,188.38763827594013,188.38763827594013
TN,-6.370511555069337,0.0002026767777603883,2.2658751326639557,2.2658751326639557
TX,-2.4772839074790785,-0.04146586641553785,6.159102780254214,6.159102780254214
UT,-7.349101188578192,-0.0016568602376822426,1.2872854991551004,1.2872854991551004
VA,-2.161219882080874,-0.010104594522339028,6.475166805652418,6.475166805652418
WA,32.10417829739893,0.008339900990955244,40.740564985132224,40.740564985132224
WI,22.55519442360811,0.0814583248995308,31.191581111341403,31.191581111341403
WV,1.1598657217682806,0.021590898507427073,9.796252409501573,9.796252409501573
WY,74.16118431611706,0.06737419686204633,82.79757100385035,82.79757100385035
